Gellish;English;Version:;9.1;8-okt-15;Knowledge base roads;;;110610000;110620000;210610000;210620000;;;;;;;;;;;;;;;;
0;69;54;71;16;44;2;101;18;1;60;3;45;15;201;65;4;66;7;14;8;67;9;10;12;13;50;68
1;UID van de gebrukte taal;Naam van een gebruikte taal;UID van een taalgemeenschap;Naam van een taalgemeenschap;Linker simultane cardinaliteiten;UID van een linker object;Naam van het linker object;Naam van de geldigheidscontext;UID van een feit;UID van een relatietype;Naam van het relatietype;Rechter simultane cardinaliteiten;UID van een rechter object;Naam van het rechter object;Definitie;Volledige definitie;UID van eenheid;"Naam van de eenheid
(type schaal)";Opmerkingen;Status;Opvolger van feit UID;Datum van begin van bestaan;Datum van laatste wijziging;Auteur van laatste wijziging;Referentie;UID van verzameling feiten;Naam van verzameling feiten
132;910036;English;195444;civil technology;;40153;road;;210600034;2069;can have as aspect a;;110600245;traffic capacity;;;;;;proposed;;12-jan-06;12-jan-06;Andries van Renssen;Piet van Meerendonk;100;domeinwoordenboek Wegen
120;910036;English;195444;civil technology;;110600237;traffic transport;;210600013;5170;can be facilitated by a;;45451;carriageway segment;;;;;;proposed;;12-jan-06;12-jan-06;Andries van Renssen;Piet van Meerendonk;100;domeinwoordenboek Wegen
113;910036;English;195444;civil technology;;45414;traffic stream;;210600072;1529;can move along a;;45451;carriageway segment;;;;;;proposed;;12-jan-06;12-jan-06;Andries van Renssen;Piet van Meerendonk;100;domeinwoordenboek Wegen
72;910036;English;192936;technology;;40054;exit;;210600029;1261;can be a part of a;;40153;road;;;;;;proposed;;9-jan-06;9-jan-06;Piet van Merendonk;Piet van Meerendonk;100;domeinwoordenboek Wegen
88;910036;English;195444;civil technology;;45411;carriageway;;210600061;1261;can be a part of a;;40153;road;;;;;;proposed;;9-jan-06;9-jan-06;Piet van Merendonk;Piet van Meerendonk;100;domeinwoordenboek Wegen
94;910036;English;195444;civil technology;;45415;road end;;210600074;1261;can be a part of a;;40153;road;;;;;;proposed;;9-jan-06;9-jan-06;Piet van Merendonk;Piet van Meerendonk;100;domeinwoordenboek Wegen
96;910036;English;195444;civil technology;;45431;road access;;210600098;1261;can be a part of a;;40153;road;;;;;;proposed;;9-jan-06;9-jan-06;Piet van Merendonk;Piet van Meerendonk;100;domeinwoordenboek Wegen
128;910036;English;195444;civil technology;;45434;road exit;;210600105;1261;can be a part of a;;40153;road;;;;;is overbodig omdat afrit een specialisatie van rijbaan is en hij daarvan erft dat hij deel kan zijn van een weg.;inherited;;12-jan-06;12-jan-06;Andries van Renssen;Piet van Meerendonk;100;domeinwoordenboek Wegen
