Gellish;English;Version:;9.0;27-okt-16;Domain dictionary;Dictionary about Roads;;;;;;;;;;;;;;;;;;;;
0;69;54;71;16;44;2;101;1;60;3;45;15;201;65;4;66;7;14;8;67;9;10;12;13;50;68
Presentation sequence;UID of the languge;Language of the name of the left hand object;UID of language community;Language community for left hand object name;Simultaneous cardinalities;UID of left hand object;Name of left hand object;UID of idea;UID of relation type;Name of relation type;Simultaneous cardinalities;UID of right hand object;Name of right hand object;Partial definition;Full definition;UID of UoM;UoM;Remarks;Status;UID of successor of relation;Date of start of life;Date of latest change;Originator of latest change;Reference;UID of collection of ideas;Name of collection of ideas
164;910036;English;195444;civil technology;;45453;city road;1047662;1146;is a kind of;;40153;road;with characteristics that are defined by a community.;is a road with characteristics that are defined by a community.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
165;910036;English;195444;civil technology;;45454;province road;1047663;1146;is a kind of;;40153;road;with characteristics that are defined by a province.;is a road with characteristics that are defined by a province.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
166;910036;English;195444;civil technology;;45455;state road;1047664;1146;is a kind of;;40153;road;with characteristics that are defined by a state.;is a road with characteristics that are defined by a state.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
171;910036;English;195444;civil technology;;45456;traffic lane;1047665;1146;is a kind of;;43427;lane;that is intended to be used by traffic. Typically a component of a carriageway.;is a lane that is intended to be used by traffic. Typically a component of a carriageway.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
174;910036;English;195444;civil technology;;45457;end of road;1047666;1146;is a kind of;;10031;end;of a road.;is a end of a road.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
175;910036;English;195444;civil technology;;195506;traffic transport;1196900;1146;is a kind of;;190176;transporting;by means of one or more vehicles that move along a route.;is a transporting by means of one or more vehicles that move along a route.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
177;910036;English;195444;civil technology;;553898;traffic intensity;1561400;1981;is a synonym of;;553898;traffic density;;;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
182;910036;English;195444;civil technology;;862262;lane capacity;1858456;1146;is a kind of;;790728;capacity (frequency);of a lane. Typically measured as a number of vehicles per time.;is a capacity (frequency) of a lane. Typically measured as a number of vehicles per time.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
183;910036;English;195444;civil technology;;45458;lane segment;1047668;1146;is a kind of;;730054;section;of a lane.;is a section of a lane.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
167;910036;English;195444;civil technology;;45459;road segment;1047670;1146;is a kind of;;730054;section;of a road.;is a section of a road.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
143;910036;English;195444;civil technology;;40054;exit;1040275;1146;is a kind of;;730052;facility;that is intended to allow exiting a building or area.;is a facility that is intended to allow exiting a building or area.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
145;910036;English;195444;civil technology;;40153;road;1040186;1146;is a kind of;;45116;strip;of land that is intended for vehicle traffic. Typically paved and flattened.;is a strip of land that is intended for vehicle traffic. Typically paved and flattened.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
168;910036;English;195444;civil technology;;40762;road network;1040922;1146;is a kind of;;45448;transport network;that consists of connected roads.;is a transport network that consists of connected roads.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
147;910036;English;195444;civil technology;;43356;road element;1046520;1146;is a kind of;;3824;part;of a road.;is a part of a road.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
170;910036;English;195444;civil technology;;43427;lane;1044911;1146;is a kind of;;45116;strip;of a roadway that is suitable for a single line of vehicles.;is a strip of a roadway that is suitable for a single line of vehicles.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
142;910036;English;195444;civil technology;;44132;roundabout;1046900;1146;is a kind of;;45439;road junction;at which traffic moves in one direction round a central island to reach one of the roads converging on it.;is a road junction at which traffic moves in one direction round a central island to reach one of the roads converging on it.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
151;910036;English;195444;civil technology;;45282;dual carriageway;1047434;1146;is a kind of;;40153;road;that consists of two parallel lanes.;is a road that consists of two parallel lanes.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
172;910036;English;195444;civil technology;;45291;single carriageway;1047435;1146;is a kind of;;40153;road;that consists of one lane.;is a road that consists of one lane.;;;;accepted;;2-mrt-06;2-mrt-06;Piet van Merendonk;Piet van Merendonk;100535;facts about civil items
189;910036;English;195444;civil technology;;45352;verge of a road;1047661;1146;is a kind of;;45410;verge;of a road.;is a verge of a road.;;;;proposed;;9-jan-06;9-jan-06;Piet van Merendonk;Piet van Meerendonk;100535;facts about civil items
