"Gellish","English","Version:","9.0","14-mrt-16","Product type model","Electric cables of suppliers","Lower_obj_uid=32000","Upper_obj_uid=32999","Lower_rel_uid=1032000","Upper_rel_uid=1032999",,"prefix=el:",,,,,,,,,,,,,,,,,,
0,69,54,71,16,44,1,43,2,101,60,3,45,74,75,15,201,65,4,66,7,14,50,68,8,67,23,9,10,12,13
"Presentation sequence","UID of language of name of left hand object","Language of name of left hand object","UID of language community","Name of language community of name of left hand object","Left hand cardinalities","UID of the idea","Intention","UID of left hand object","Name of left hand object","UID of kind of relation","Name of kind of relation","Right hand cardinalities","UID of right hand kind of role","Name of right hand kind of role","UID of right hand object","Name of right hand object","Partial definition","Full definition","UID of UoM","Name of unit of measure","Remarks","UID of collection of facts","Name of collection of facts","Status","UID of successor of idea","Date-Time of availability","Date of start of validity","Date of latest change","Originator of latest change","Reference"
4,910036,"English",32100,"Nexans",,32201,"bewering",32101,"YMvK mb Flex 3 x 95 SV",5396,"is a brand",,,,32301,"YMvK mb cable","that ...","is a YMvK mb cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
5,910036,"English",32100,"Nexans",,32202,"statement",32101,"YMvK mb Flex 3 x 95 SV",5396,"is a brand",,,,251691,"3 core cable","that ...","is a 3 core cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
6,910036,"English",32100,"Nexans",,32203,"statement",32102,"YMvK mb 3 x 35",5396,"is a brand",,,,32301,"YMvK mb cable","that ...","is a YMvK mb cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
7,910036,"English",32100,"Nexans",,32204,"statement",32102,"YMvK mb 3 x 35",5396,"is a brand",,,,251691,"3 core cable","that ...","is a 3 core cable  ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
8,910036,"English",32100,"Nexans",,32205,"statement",32103,"YMvK mb Flex 3 x 70 SV",5396,"is a brand",,,,32301,"YMvK mb cable","that ...","is a YMvK mb cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
9,910036,"English",32100,"Nexans",,32206,"statement",32103,"YMvK mb Flex 3 x 70 SV",5396,"is a brand",,,,251691,"3 core cable","that ...","is a 3 core cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
10,910036,"English",32100,"Nexans",,32207,"statement",32103,"YMvK mb Flex 3 x 70 SV",5527,"has by definition as aspect a",,32104,"external diameter of a YMvK mb Flex 3 x 70 SV",550206,"external diameter",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32208,"statement",32104,"external diameter of a YMvK mb Flex 3 x 70 SV",5737,"has by definition on scale a value equal to",,,,2000000030,30,,,570423,"mm",,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32209,"statement",32104,"external diameter of a YMvK mb Flex 3 x 70 SV",1146,"is a kind of",,,,4289,"intrinsic aspect","that ...",,,,,,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32210,"statement",32104,"external diameter of a YMvK mb Flex 3 x 70 SV",5817,"is by definition an intrinsic",,,,550206,"external diameter",,,,,,,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32211,"statement",32104,"external diameter of a YMvK mb Flex 3 x 70 SV",5738,"is by definition an intrinsic aspect of a",,,,32103,"YMvK mb Flex 3 x 70 SV",,,,,,,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32212,"statement",32103,"YMvK mb Flex 3 x 70 SV",6149,"has by definition as intrinsic aspect a",,32105,"jacket material of a YMvK mb Flex 3 x 70 SV",32302,"jacket material",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
13,910036,"English",32100,"Nexans",,32213,"statement",32105,"jacket material of a YMvK mb Flex 3 x 70 SV",5283,"is by definition qualified as",,,,280178,"PVC",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
14,910036,"English",32100,"Nexans",,32214,"statement",32301,"YMvK mb kabel",1726,"is a type of",,,,32303,"YMvK cable",,"is a YMvK cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
15,910036,"English",32100,"Nexans",,32215,"statement",32303,"YMvK kabel",1726,"is a type of",,,,250038,"electric cable",,"is an electric cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
19,910036,"English",32100,"Nexans",,32216,"statement",32105,"jacket material of a YMvK mb Flex 3 x 70 SV",1146,"is a kind of",,,,4289,"intrinsic aspect","that ...","is an intrinsic aspect",,,"factually a kind of ‘intrinsic aspect of a part’",,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
19,910036,"English",32100,"Nexans",,32217,"statement",32105,"jacket material of a YMvK mb Flex 3 x 70 SV",5817,"is by definition an intrinsic",,,,32302,"jacket material",,,,,,,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
16,910036,"English",195446,"electrical technology",,32218,"statement",251691,"3 core cable",1146,"is a kind of",,,,250992,"multi core cable","that is composed of three electricity conducting cores that are isolated from each other.","is a multi core cable that is composed of three electricity conducting cores that are isolated from each other.",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
17,910036,"English",195446,"electrical technology",,32219,"statement",250992,"multi core cable",1146,"is a kind of",,,,250038,"electric cable","that is composed of two or more electricity conducting cores that are isolated from each other.","is an electric cable that is composed of two or more electricity conducting cores that are isolated from each other.",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
18,910036,"English",195446,"electrical technology",,32220,"statement",32302,"jacket material",1146,"is a kind of",,,,4289,"intrinsic aspect","that ...","is an intrinsic aspect",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
20,910036,"English",195446,"electrical technology",,32221,"statement",32302,"jacket material",5817,"is by definition an intrinsic",,,,431771,"material",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
21,910036,"English",195446,"electrical technology",,32222,"statement",32302,"jacket material",5738,"is by definition an intrinsic aspect of a",,,,32304,"jacket",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
