"Gellish";"English";"Version:";"9.0";"25-okt-16";"Base Ontology";"Taxonomic Dictionary of Formal English: Upper ontology section (core)";;;;;;;;;;;;;;;;;;;;;;
0;69;54;71;16;5;43;44;2;101;1;60;3;45;15;201;65;4;66;7;14;50;68;8;67;9;10;12;13
"Presentation sequence";"UID of language of left hand object name";"Language of left hand object name";"UID of language community for left hand object name";"Name of language community for left hand object name";"UID of intention";"Name of intention";"Simultaneous left hand cardinalities";"UID of left hand object";"Name of left hand object";"UID of idea";"UID of kind of relation";"Name of kind of relation";"Simultaneous right hand cardinalities";"UID of right hand object";"Name of right hand object";"Partial definition";"Full definition";"UID of UoM";"UoM";"Remarks";"UID of collection of facts";"Name of collection of facts";"Status";"UID of successor of relation";"Date of start of life";"Date of latest change";"Originator of latest change";"Reference"
156;910036;"English";193259;"ontology";491285;"statement";1,1;1146;"specialization relation between kinds of things";1003487;5945;"has by definition as second role a";1,1;3817;"supertype";;;;;;1045;"facts about conceptual relations";"accepted";;"11-mrt-99";"31-mrt-99";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
154;910036;"English";193259;"ontology";491285;"statement";;1146;"specialization relation between kinds of things";1001142;1146;"is a kind of";;5052;"hierarchical relation between kinds of things";"that specifies that the subtype kind has additional constraints as criteria for membership than the supertype kind; and each member of the subtype kind is also a member of the supertype kind. This implies that a subtype kind inherits all knowledge that is valid for a supertype kind, because every assertion that is true for a supertype is also true for a subtype. The relation is transitive and antisymmetric. Formally defined: A <is a kind of> B if and only if for all x, if x <is classified as a> A, then x <is classified as a> B.";;;;;1045;"facts about conceptual relations";"accepted";;"24-jul-98";"22-aug-12";"Andries van Renssen";"ISO 10303-221:2002, OWL"
157;910036;"English";193259;"ontology";491285;"statement";;1146;"specialization relation between kinds of things";1027714;1146;"is a kind of";;5520;"transitive relation";"that specifies that the subtype kind has additional constraints as criteria for membership than the supertype kind, and each member of the subtype kind is also a member of the supertype kind. It is transitive and antisymmetric.";"is a transitive relation that specifies that the subtype kind has additional constraints as criteria for membership than the supertype kind, and each member of the subtype kind is also a member of the supertype kind. It is transitive and antisymmetric.";;;;1045;"facts about conceptual relations";"accepted";;"8-jan-13";"8-jan-13";"Andries van Renssen";"Andries van Renssen"
158;910036;"English";193259;"ontology";491285;"statement";;1146;"specialization relation between kinds of things";1027715;1146;"is a kind of";;5912;"antisymmetric relation";"that specifies that the subtype kind has additional constraints as criteria for membership than the supertype kind, and each member of the subtype kind is also a member of the supertype kind. It is transitive and antisymmetric.";"is a antisymmetric relation that specifies that the subtype kind has additional constraints as criteria for membership than the supertype kind, and each member of the subtype kind is also a member of the supertype kind. It is transitive and antisymmetric.";;;;1045;"facts about conceptual relations";"accepted";;"8-jan-13";"8-jan-13";"Andries van Renssen";"Andries van Renssen"
155;910036;"English";193259;"ontology";491285;"statement";1,1;1146;"specialization relation between kinds of things";1003488;5944;"has by definition as first role a";1,1;3818;"subtype";;;;;;1045;"facts about conceptual relations";"accepted";;"11-mrt-99";"31-mrt-99";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
159;910036;"English";492014;"Gellish";491285;"statement";;1146;"is a specialization of";1001002;6066;"is a base phrase for";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
160;910036;"English";492014;"Gellish";491285;"statement";;1146;"is a generalization of";1001003;1986;"is an inverse phrase for";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
161;910036;"English";589830;"Gellish alternative";491285;"statement";;1146;"is a subtype of";1004601;6066;"is a base phrase for";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
162;910036;"English";589830;"Gellish alternative";491285;"statement";;1146;"is a supertype of";1004602;1986;"is an inverse phrase for";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
163;910036;"English";589830;"Gellish alternative";491285;"statement";;1146;"is a specialization of a";1006974;6066;"is a base phrase for";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about kinds of relations";"accepted";;"20-sep-02";"26-okt-04";"Andries van Renssen";"Andries van Renssen"
164;910036;"English";193259;"ontology";491285;"statement";;1146;"specialization of concept";1009810;1981;"is a synonym of";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about kinds of relations";"accepted";;"8-jan-07";"8-jan-07";"Andries van Renssen";"Andries van Renssen"
165;910036;"English";193259;"ontology";491285;"statement";;1146;"specialization of class";1009812;1981;"is a synonym of";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about kinds of relations";"accepted";;"8-jan-07";"22-aug-12";"Andries van Renssen";"Andries van Renssen"
166;910036;"English";589830;"Gellish alternative";491285;"statement";;1146;"is a kind of";1026162;6066;"is a base phrase for";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about kinds of relations";"accepted";;"2-okt-07";"2-okt-07";"Andries van Renssen";"Andries van Renssen"
167;910036;"English";589830;"Gellish alternative";491285;"statement";;1146;"is a subclass of";1027712;6066;"is a base phrase for";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about kinds of relations";"accepted";;"8-jan-13";"8-jan-13";"Andries van Renssen";"Andries van Renssen"
168;910036;"English";589830;"Gellish alternative";491285;"statement";;1146;"is defined as a kind of";1028096;6066;"is a base phrase for";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about kinds of relations";"accepted";;"30-okt-13";"30-okt-13";"Andries van Renssen";"Andries van Renssen"
780;910036;"English";589830;"Gellish alternative";491285;"statement";;1146;"is by definition a subtype of";1027745;6066;"is a base phrase for";;1146;"specialization relation between kinds of things";;;;;;1045;"facts about kinds of relations";"accepted";;"25-feb-13";"25-feb-13";"Andries van Renssen";"Andries van Renssen"
159;911689;"American";492014;"Gellish";491285;"statement";;1146;"is a specialization of";1029795;6066;"is a base phrase for";;1146;"specialization relation between kinds";;;;;;1045;"facts about kinds of relations";"accepted";;"10-01-18";"10-01-18";"Rob Moonen";"Andries van Renssen"
175;910036;"English";193259;"ontology";491285;"statement";1,1;1190;"assembly relation of a part in a whole individual physical object";1004131;5945;"has by definition as second role a";1,1;3826;"assembled whole";;;;;;1047;"facts about conceptual relations between individual things";"accepted";;"11-mrt-99";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
770;910036;"English";193259;"ontology";491285;"statement";1,1;1190;"assembly relation of a part in a whole individual physical object";1027449;5944;"has by definition as first role a";1,1;5871;"assembled part";;;;;;1047;"facts about conceptual relations between individual things";"accepted";;"10-okt-12";"10-okt-12";"Andries van Renssen";"Andries van Renssen"
174;910036;"English";193259;"ontology";491285;"statement";;1190;"assembly relation of a part in a whole individual physical object";1001151;1146;"is a kind of";;4662;"organization relation of an individual thing";"that has a single individual physical object as a whole and specifies that the part is assembled and forms an integral part of the whole physical object. It implies that the parts of the whole are mutually connected to each other in some way.";;;;;1047;"facts about conceptual relations between individual things";"accepted";;"24-jul-98";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
176;910036;"English";492014;"Gellish";491285;"statement";;1190;"is an assembly of";1004235;1986;"is an inverse phrase for";;1190;"assembly relation of a part in a whole individual physical object";;;;;;1047;"facts about conceptual relations between individual things";"accepted";;"25-apr-05";"25-apr-05";"Matthe van Koetsveld";"Matthe van Koetsveld"
771;910036;"English";492014;"Gellish";491285;"statement";;1190;"is an assembled part of";1027450;6066;"is a base phrase for";;1190;"assembly relation of a part in a whole individual physical object";;;;;;1047;"facts about kinds of relations between individual things";"accepted";;"10-okt-12";"10-okt-12";"Andries van Renssen";"Andries van Renssen"
