"Gellish";"English";"Version:";"8.4";"8-aug-13";"domain dictionary";"WWW namespaces mappings";60000;69999;1060000;1069999;;;;;;;;;;;;;;;;
0;69;54;71;16;2;101;;;1;60;3;15;201;65;4;14;8;67;9;10;12;13;50;68;;
"Presentation sequence";"UID of language of left hand object name";"Language of left hand object name";"UID of language community for left hand object name";"Name of language community for left hand object name";"UID of left hand object";"Name of left hand object";"Phrase (label)";"Inverse phrase (label)";"UID of fact";"UID of relation type";"Name of relation
type";"UID of right hand object";"Name of right hand object";"Partial description";"Full description";"Remarks";"Status";"Successor of relation ID";"Date of start of life";"Date of latest change";"Originator of latest change";"Reference";"UID of collection of facts";"Name of collection of facts";"Gellish base phrase";"Gellish inverse phrase"
4;910036;"English";589263;"RDFS";730000;"rdfs:Resource";;;1060001;1981;"is a synonym of";4990;"concept";;"All things described by RDF are called resources, and are instances of the class rdfs:Resource. This is the class of everything. All other classes are subclasses of this class.";"Not synonym to 'anything' in Gellish, because in RDFS the individuals are not included in this concept.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;;
4;910036;"English";589263;"RDFS";730067;"rdfs:Class";;;1060002;1981;"is a synonym of";730067;"phenomenon";;"the class of resources that are RDF classes. rdfs:Class is an instance of rdfs:Class.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;;
108;910036;"English";589263;"RDFS";1229;"rdfs:Literal";;;1060003;1981;"is a synonym of";1229;"qualitative aspect";;"is the class of literal values such as strings and integers. Property values such as textual strings are examples of RDF literals.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
11;910036;"English";492014;"Gellish";60004;"data type";;;1060004;1146;"is a specialization of";1229;"qualitative aspect";;"is the class of datatypes. All instances of rdfs:Datatype correspond to the RDF model of a datatype described in the RDF Concepts specification [RDF-CONCEPTS]. rdfs:Datatype is both an instance of and a subclass of rdfs:Class. Each instance of rdfs:Datatype is a subclass of rdfs:Literal.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"(In)Equality";;;"is a synonym of";
108;910036;"English";589263;"RDFS";60004;"rdfs:Datatype";;;1060005;1981;"is a synonym of";60004;"data type";;"is the class of datatypes. All instances of rdfs:Datatype correspond to the RDF model of a datatype described in the RDF Concepts specification [RDF-CONCEPTS]. rdfs:Datatype is both an instance of and a subclass of rdfs:Class. Each instance of rdfs:Datatype is a subclass of rdfs:Literal.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
6;910036;"English";492014;"Gellish";60005;"XML qualitative aspect";;;1060006;1146;"is a specialization of";1229;"qualitative aspect";;"is the class of XML literal values. rdf:XMLLiteral is an instance of rdfs:Datatype and a subclass of rdfs:Literal.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";60005;"rdf:XMLLiteral";;;1060007;1981;"is a synonym of";60005;"XML qualitative aspect";;"is the class of XML literal values. rdf:XMLLiteral is an instance of rdfs:Datatype and a subclass of rdfs:Literal.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";5935;"rdf:Property";;;1060008;1981;"is a synonym of";5935;"binary relation";;"is the class of RDF properties. rdf:Property is an instance of rdfs:Class.";"In RDF a property is a binary relation. Gellish allows for binary as well as higher order relations.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
