Gellish;English;Version:;9.0;25-okt-16;Units of measure & currencies;;;;;;;;;;;;;;;;;;;;;;;
0;69;54;71;16;5;43;44;2;101;1;60;3;45;15;201;65;4;66;7;14;8;67;9;10;12;13;50;68
1;UID of the language of the left hand object;Language of left hand term and definition;UID of language community for left hand object name;Name of language community (Context for left hand object name);UID of the intention;Name of the intention;Left hand cardinalities;UID of left hand object;Name of left hand object;UIF of fact;UID of relation type;Name of relation type;Right hand cardinalities;UID of right hand object;Name of right hand object;Partial definition of left hand object;Full definition;UID of UoM;UoM;Remarks;Status;UID of successor of relation;Date of start of life change;Date of latest change;Originator of latest change;Reference;UID of collection of ideas;Name of collection of ideas
4;589211;international;1733;UoM;491285;statement;;570036;m;1571835;1726;is a qualitative subtype of;;570630;length scale;in which 1 m is a distance (or length of a path) traveled by a ray of electromagnetic energy (such as light) through a vacuum in 1/299,792,458 (3.33564095 x 10-9) of a seconde. It is intended to quantify distance. The meter was earlier defined as one ten-millionth (0.0000001 or 10-7) of the distance, as measured over the earth's surface in a great circle passing through Paris, France, from the geographic north pole to the equator.;is a qualification of a length scale in which 1 m is a distance (or length of a path) traveled by a ray of electromagnetic energy (such as light) through a vacuum in 1/299,792,458 (3.33564095 x 10-9) of a seconde. It is intended to quantify distance. The meter was earlier defined as one ten-millionth (0.0000001 or 10-7) of the distance, as measured over the earth's surface in a great circle passing through Paris, France, from the geographic north pole to the equator.;;;;accepted;;11-apr-98;8-nov-00;NL UOM peers;"ISO 1000; http://www.bipm.org/en/measurement-units/base-units.html";571024;facts about base SI units
5;589211;international;1733;UoM;491285;statement;;570382;%;1570726;1726;is a qualitative subtype of;;570680;ratio scale;that is 100 times the quotient of a quantity divided by a reference quantity.;is a qualification of a ratio scale that is 100 times the quotient of a quantity divided by a reference quantity.;;;;accepted;;15-apr-98;15-apr-98;Andries van Renssen;Andries van Renssen;571026;facts about non SI units
6;589211;international;1733;UoM;491285;statement;;570423;mm;1570763;1726;is a qualitative subtype of;;570630;length scale;that is 10**-3 m.;is a qualification of a length scale that is 10**-3 m.;;;;accepted;;15-apr-98;15-apr-98;Andries van Renssen;Andries van Renssen;571028;facts about units of measure with prefix
7;589211;international;1733;UoM;491285;statement;;570415;km;1570756;1726;is a qualitative subtype of;;570630;length scale;that is 10**3 m;is a qualification of a length scale that is 10**3 m;;;;accepted;;11-apr-98;11-apr-98;Shell MESC catalogue;ISO 1000;571028;facts about units of measure with prefix
8;589211;international;1733;UoM;491285;statement;;570387;1/h;1570731;1726;is a qualitative subtype of;;570605;frequency scale;that is a number of times per hour;is a qualification of a frequency scale that is a number of times per hour;;;;accepted;;15-apr-98;15-apr-98;Andries van Renssen;Andries van Renssen;571027;facts about compound units of measure
9;910036;English;193417;measurement;491285;statement;;570630;length scale;1570984;1146;is a specialization of;;1733;scale;that is intended for quantification of a distance.;is a scale that is intended for quantification of a distance.;;;;accepted;;31-mrt-00;31-mrt-00;Shell MESC catalogue;ISO 1000;571023;facts about scales
10;910036;English;193417;measurement;491285;statement;;570680;ratio scale;1571034;1146;is a specialization of;;1733;scale;that is the quotient of a quantity devided by a reference quantity.;is a scale that is the quotient of a quantity devided by a reference quantity.;;;;accepted;;31-mrt-00;31-mrt-00;Andries van Renssen;Andries van Renssen;571023;facts about scales
11;910036;English;193417;measurement;491285;statement;;570605;frequency scale;1570959;1146;is a specialization of;;1733;scale;typically expressed in herz;is a scale typically expressed in herz;;;frequency in Herz;accepted;;31-mrt-00;31-mrt-00;Shell MESC catalogue;ISO 1000;571023;facts about scales
12;589211;international;1733;UoM;491285;statement;;570411;in;1570753;1726;is a qualitative subtype of;;570630;length scale;equivalent to 2.540 cm.;is a qualification of a length scale equivalent to 2.540 cm.;;;;accepted;;15-apr-98;15-apr-98;Andries van Renssen;Andries van Renssen;571026;facts about non SI units
13;589211;international;1733;UoM;491285;statement;;570411;inch;1572438;1981;is a synonym of;;570411;in;;;;;;accepted;;12-mrt-03;12-mrt-03;Andries van Renssen;Andries van Renssen;571026;facts about non SI units
14;589211;international;1733;UoM;491285;statement;;570780;EUR;1571943;1726;is a qualitative subtype of;;550853;currency;that is guaranteed by the european bank.;is a qualification of a currency that is guaranteed by the european bank.;;;;accepted;;24-okt-01;24-okt-01;Andries van Renssen;ISO 4217;571951;facts about currencies
