Gellish	English	Version:	9.0	27-okt-16	Dictionary+Knowledge about Roads		Buildings, civil and furniture																				
0	69	54	71	16	44	2	101	1	60	3	45	15	201	65	4	66	7	14	8	67	9	10	12	13	50	68	
Presentation sequence	UID of the languge	Language of the name of the left hand object	UID of language community	Language community for left hand object name	Simultaneous cardinalities	UID of left hand object	Name of left hand object	UID of idea	UID of relation type	Name of relation type	Simultaneous cardinalities	UID of right hand object	Name of right hand object	Partial definition	Full definition	UID of UoM	UoM	Remarks	Status	UID of successor of relation	Date of start of life	Date of latest change	Originator of latest change	Reference	UID of collection of ideas	Name of collection of ideas	
164	910036	English	195444	civil technology		45.453	city road	1.047.662	1.146	is a kind of		40.153	road	with characteristics that are defined by a community.	is a road with characteristics that are defined by a community.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
165	910036	English	195444	civil technology		45.454	province road	1.047.663	1.146	is a kind of		40.153	road	with characteristics that are defined by a province.	is a road with characteristics that are defined by a province.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
166	910036	English	195444	civil technology		45.455	state road	1.047.664	1.146	is a kind of		40.153	road	with characteristics that are defined by a state.	is a road with characteristics that are defined by a state.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
171	910036	English	195444	civil technology		45.456	traffic lane	1.047.665	1.146	is a kind of		43.427	lane	that is intended to be used by traffic. Typically a component of a carriageway.	is a lane that is intended to be used by traffic. Typically a component of a carriageway.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
174	910036	English	195444	civil technology		45.457	end of road	1.047.666	1.146	is a kind of		10.031	end	of a road.	is a end of a road.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
175	910036	English	195444	civil technology		195.506	traffic transport	1.196.900	1.146	is a kind of		190.176	transporting	by means of one or more vehicles that move along a route.	is a transporting by means of one or more vehicles that move along a route.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
177	910036	English	195444	civil technology		553.898	traffic intensity	1.561.400	1.981	is a synonym of		553.898	traffic density						accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
179	910036	English	195444	civil technology		862.261	outgoing traffic	1.858.455	1.146	is a kind of		550.033	ratio	between a traffic intensity on an exit relative to the traffic intensity on the carriageway before the exit.	is a ratio between a traffic intensity on an exit relative to the traffic intensity on the carriageway before the exit.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
182	910036	English	195444	civil technology		862.262	lane capacity	1.858.456	1.146	is a kind of		790.728	capacity (frequency)	of a lane. Typically measured as a number of vehicles per time.	is a capacity (frequency) of a lane. Typically measured as a number of vehicles per time.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
183	910036	English	195444	civil technology		45.458	lane segment	1.047.668	1.146	is a kind of		730.054	section	of a lane.	is a section of a lane.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
167	910036	English	195444	civil technology		45.459	road segment	1.047.670	1.146	is a kind of		730.054	section	of a road.	is a section of a road.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
72	910036	English	195444	civil technology		40.054	exit	210.600.029	1.261	can be a part of a		40.153	road						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
103	910036	English	195444	civil technology		40.054	exit	210.600.030	1.261	can be a part of a		44.132	roundabout						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
143	910036	English	195444	civil technology		40.054	exit	1.040.275	1.146	is a kind of		730.052	facility	that is intended to allow exiting a building or area.	is a facility that is intended to allow exiting a building or area.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
132	910036	English	195444	civil technology		40.153	road	210.600.034	2.069	can have as aspect a		790.728	capacity (frequency)						proposed		12-jan-06	12-jan-06	Andries van Renssen	Piet van Meerendonk	100.535	facts about civil items	
145	910036	English	195444	civil technology		40.153	road	1.040.186	1.146	is a kind of		45.116	strip	of land that is intended for vehicle traffic. Typically paved and flattened.	is a strip of land that is intended for vehicle traffic. Typically paved and flattened.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
168	910036	English	195444	civil technology		40.762	road network	1.040.922	1.146	is a kind of		45.448	transport network	that consists of connected roads.	is a transport network that consists of connected roads.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
147	910036	English	195444	civil technology		43.356	road element	1.046.520	1.146	is a kind of		3.824	part	of a road.	is a part of a road.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
115	910036	English	195444	civil technology		43.427	lane	210.600.042	1.261	can be a part of a		45.411	carriageway						proposed		12-jan-06	12-jan-06	Andries van Renssen	Piet van Meerendonk	100.535	facts about civil items	
170	910036	English	195444	civil technology		43.427	lane	1.044.911	1.146	is a kind of		45.116	strip	of a roadway that is suitable for a single line of vehicles.	is a strip of a roadway that is suitable for a single line of vehicles.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
142	910036	English	195444	civil technology		44.132	roundabout	1.046.900	1.146	is a kind of		45.439	road junction	at which traffic moves in one direction round a central island to reach one of the roads converging on it.	is a road junction at which traffic moves in one direction round a central island to reach one of the roads converging on it.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
151	910036	English	195444	civil technology		45.282	dual carriageway	1.047.434	1.146	is a kind of		40.153	road	that consists of two parallel lanes.	is a road that consists of two parallel lanes.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
172	910036	English	195444	civil technology		45.291	single carriageway	1.047.435	1.146	is a kind of		40.153	road	that consists of one lane.	is a road that consists of one lane.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
189	910036	English	195444	civil technology		45.352	verge of a road	1.047.661	1.146	is a kind of		45.410	verge	of a road.	is a verge of a road.				proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
101	910036	English	195444	civil technology		45.404	square	210.600.053	1.261	can be a part of a		44.132	roundabout						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
163	910036	English	195444	civil technology		45.404	square	1.047.579	1.146	is a kind of		730.020	area	that is an open space in a town or village. Typically where several roads come together.	is a area that is an open space in a town or village. Typically where several roads come together.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
93	910036	English	195444	civil technology		45.410	verge	210.600.056	1.261	can be a part of a		45.411	carriageway						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
102	910036	English	195444	civil technology		45.410	verge	210.600.057	1.261	can be a part of a		44.132	roundabout						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
160	910036	English	195444	civil technology		45.410	verge	1.047.597	1.146	is a kind of		45.116	strip	that is an edge of a roadway.	is a strip that is an edge of a roadway.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
88	910036	English	195444	civil technology		45.411	carriageway	210.600.061	1.261	can be a part of a		40.153	road						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
